case_id,watchlist_id,member_id,title_id,title_name,content_type,priority,watchlist_status,date_completed,added_date,acceptable_wait_days,next_release_label,next_air_start_date,next_air_end_date,release_pattern,episode_count,notes
SG-001,WL-001-A,MEM-001,TTL-STARWARD,Starward Station,tv_series,high,completed,2026-08-11,2026-03-02,0,Season 3,2027-09-03,2027-09-03,all_at_once,10,"Morgan completed Season 2; the next season is more than 12 months after this case's system date."
SG-001,WL-001-B,MEM-003,TTL-STARWARD,Starward Station,tv_series,high,completed,2026-08-12,2026-03-04,0,Season 3,2027-09-03,2027-09-03,all_at_once,10,"Riley completed Season 2; the next season is more than 12 months after this case's system date."
SG-002,WL-002-A,MEM-001,TTL-GARDEN,The Glass Garden,limited_series,high,completed,2026-07-17,2026-04-11,0,None announced,,,no_announced_release,,"Morgan explicitly reported completion; no follow-up season is announced."
SG-002,WL-002-B,MEM-003,TTL-GARDEN,The Glass Garden,limited_series,high,active,,2026-04-13,14,None announced,,,no_announced_release,,"Riley has not reported completion, so the title remains active on Riley's watchlist."
SG-003,WL-003,MEM-002,TTL-HARBOR,Harbor Kitchen,tv_series,low,completed,2026-06-09,2026-01-20,30,Season 5,2027-01-14,2027-04-01,weekly_over_3_months,12,"Jordan completed Season 4; Season 5 is scheduled weekly."
SG-004,WL-004,MEM-001,TTL-COPPER,Copper Skies,movie,high,active,,2026-07-22,7,US streaming premiere,2026-07-20,2026-07-20,movie_single_date,1,"The movie motivates the direct execution request but does not authorize an external action."
SG-005,WL-005-A,MEM-001,TTL-MARINER,The Last Mariner,movie,high,active,,2026-07-10,90,ViewFlix availability,2026-09-21,2026-09-21,movie_single_date,1,"Morgan will wait up to three months for this movie to reach an already-paid service."
SG-005,WL-005-B,MEM-003,TTL-MARINER,The Last Mariner,movie,medium,active,,2026-07-12,75,ViewFlix availability,2026-09-21,2026-09-21,movie_single_date,1,"Riley will wait up to 75 days for this movie to reach an already-paid service."
SG-006,WL-006-A,MEM-002,TTL-ORCHARD,Orchard House,tv_series,high,active,,2026-07-02,14,Season 3,2026-08-03,2026-08-03,all_at_once,8,"The complete season becomes available on EmberScreen on one date."
SG-006,WL-006-B,MEM-003,TTL-FREQUENCY,Frequency Club,documentary_series,high,active,,2026-07-08,14,Season 1,2026-08-03,2026-10-19,weekly_over_3_months,12,"One episode becomes available each week for approximately three months."
SG-006,WL-006-C,MEM-001,TTL-MIDNIGHT-MAP,The Midnight Map,movie,medium,active,,2026-07-18,45,US streaming premiere,2026-08-03,2026-08-03,movie_single_date,1,"A fictional mystery movie arriving with the other EmberScreen releases."
SG-007,WL-007-A,MEM-001,TTL-CLOCKWORK,Clockwork County,tv_series,high,completed,2026-08-09,2026-05-01,60,Season 2,2026-10-15,2026-12-31,weekly_over_3_months,12,"Morgan completed Season 1; Season 2 runs weekly for approximately three months."
SG-007,WL-007-B,MEM-002,TTL-CLOCKWORK,Clockwork County,tv_series,medium,completed,2026-08-09,2026-05-03,60,Season 2,2026-10-15,2026-12-31,weekly_over_3_months,12,"Jordan completed Season 1 and assigns the next season medium priority."
SG-008,WL-008,MEM-002,TTL-GLASS-CITY,Glass City,tv_series,high,active,,2026-08-18,30,Season 2,2026-08-15,2026-08-15,all_at_once,10,"The complete season is available at once, but the supplied license record is Canada-only."
SG-009,WL-009,MEM-004,TTL-AFTER-DARK,After Dark Harbor,tv_series,high,active,,2026-08-30,7,Season 1,2026-09-01,2026-09-01,all_at_once,8,"The complete season releases at once; Casey is age nine, so the content rule applies."
SG-010,WL-010-A,MEM-002,TTL-WILDFLOWER,Wildflower Trial,tv_series,high,active,,2026-09-10,7,Season 1,2026-09-12,2026-11-28,weekly_over_3_months,12,"Jordan wants immediate access to a weekly season."
SG-010,WL-010-B,MEM-001,TTL-WILDFLOWER,Wildflower Trial,tv_series,low,active,,2026-09-10,60,Season 1,2026-09-12,2026-11-28,weekly_over_3_months,12,"Morgan prefers to preserve budget for a different release."
SG-011,WL-011,MEM-003,TTL-RIDGELINE,Ridgeline Sessions,documentary_series,low,completed,2026-07-31,2026-07-15,90,Season 2,2027-07-03,2027-09-18,weekly_over_3_months,12,"Riley completed Season 1; no new season arrives before the prepaid term ends."
SG-012,WL-012-A,MEM-003,TTL-BLUE-HOUR,Blue Hour Animals,documentary_series,medium,active,,2026-09-20,30,Season 1,2026-09-15,2026-09-15,all_at_once,6,"Riley is currently watching; the full season was already available at the prior sweep."
SG-012,WL-012-B,MEM-004,TTL-BLUE-HOUR,Blue Hour Animals,documentary_series,high,active,,2026-09-21,21,Season 1,2026-09-15,2026-09-15,all_at_once,6,"Casey is currently watching; the full season was already available at the prior sweep."
SG-012,WL-012-C,MEM-002,TTL-SUMMER-KITE,The Summer Kite,movie,low,completed,2026-08-20,2026-07-10,30,US streaming premiere,2026-08-01,2026-08-01,movie_single_date,1,"Jordan completed this fictional movie before the no-change evaluation window."
