service_id,service_name,plan_id,plan_name,monthly_price,annual_price,billing_cadence,upfront_cost,video_quality,ad_experience,features,territory,trial_terms,promotion_terms,bundle_dependencies,pause_eligible,max_pause_days,max_pause_months,pause_terms,cancellation_terms,approved_account_url,approved_support_url
SVC-AURORA,Aurora+,PLAN-AURORA-ADS,Standard with Ads,7.99,,monthly,7.99,2K,with_ads,"ads; 2 streams; 1080p; limited downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.auroraplus.com/,https://www.auroraplus.com/support
SVC-AURORA,Aurora+,PLAN-AURORA-M,Standard Ad-Free,12.99,,monthly,12.99,2K,live_events_may_include_ads,"ad-free except live events; 2 streams; 1080p; downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.auroraplus.com/,https://www.auroraplus.com/support
SVC-AURORA,Aurora+,PLAN-AURORA-PREMIUM,Premium 4K,19.99,,monthly,19.99,4K,live_events_may_include_ads,"ad-free except live events; 4 streams; 4K HDR; downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.auroraplus.com/,https://www.auroraplus.com/support
SVC-ORBIT,Orbit+,PLAN-ORBIT-ADS,Standard with Ads,7.99,,monthly,7.99,2K,with_ads,"ads; 2 streams; 1080p",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.orbitplus.com/,https://www.orbitplus.com/support
SVC-ORBIT,Orbit+,PLAN-ORBIT-M,Standard Ad-Free,12.99,,monthly,12.99,2K,live_events_may_include_ads,"ad-free except live events; 2 streams; 1080p; downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.orbitplus.com/,https://www.orbitplus.com/support
SVC-TRIO,TrioStream,PLAN-TRIO-BUNDLE-ADS,Three-Service Bundle with Ads,19.99,,monthly,19.99,2K,with_ads,"three separate fictional libraries; ads; 2 streams per library",US,none,none,"all three components required",false,0,0,not_available,"changing components ends bundle pricing",https://www.triostream.com/,https://www.triostream.com/support
SVC-TRIO,TrioStream,PLAN-TRIO-BUNDLE,Three-Service Bundle Ad-Free,32.99,,monthly,32.99,4K,live_events_may_include_ads,"three separate fictional libraries; mostly ad-free; downloads",US,none,"$20 prepaid promotional credit","all three components required; remaining two cost $37.98 separately",false,0,0,not_available,"removing any component ends bundle; $20 promotional credit is forfeited",https://www.triostream.com/,https://www.triostream.com/support
SVC-SUMMIT,Summit+,PLAN-SUMMIT-ADS,Standard with Ads,9.99,,monthly,9.99,2K,with_ads,"ads; 2 streams; 1080p",US,"7 days for eligible new subscribers",none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.summitplus.com/,https://www.summitplus.com/support
SVC-SUMMIT,Summit+,PLAN-SUMMIT-M,Standard Ad-Free,16.99,,monthly,16.99,2K,live_events_may_include_ads,"ad-free except live events; 2 streams; 1080p; downloads",US,"7 days for eligible new subscribers",none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.summitplus.com/,https://www.summitplus.com/support
SVC-TIDE,TidePlay,PLAN-TIDE-M,Standard with Ads,7.99,,monthly,7.99,2K,with_ads,"ads; 3 streams; 1080p",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.tideplay.com/,https://www.tideplay.com/support
SVC-TIDE,TidePlay,PLAN-TIDE-PLUS,Plus Ad-Free,13.99,,monthly,13.99,2K,live_events_may_include_ads,"ad-free except live events; 3 streams; downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.tideplay.com/,https://www.tideplay.com/support
SVC-VIEWFLIX,ViewFlix,PLAN-VIEWFLIX-M,Standard with Ads,8.99,,monthly,8.99,2K,with_ads,"ads; 2 streams; 1080p; downloads on 2 devices",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.viewflix.com/,https://www.viewflix.com/support
SVC-VIEWFLIX,ViewFlix,PLAN-VIEWFLIX-STANDARD,Standard Ad-Free,19.99,,monthly,19.99,2K,ad_free,"ad-free; 2 streams; 1080p; downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.viewflix.com/,https://www.viewflix.com/support
SVC-VIEWFLIX,ViewFlix,PLAN-VIEWFLIX-PREMIUM,Premium,26.99,,monthly,26.99,4K,ad_free,"ad-free; 4 streams; 4K HDR; expanded downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.viewflix.com/,https://www.viewflix.com/support
SVC-FAMILYARC,FamilyArc,PLAN-FAMILYARC-ADS,Standard with Ads,11.99,,monthly,11.99,4K,with_ads,"ads; 4K on supported titles; multiple streams",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.familyarc.com/,https://www.familyarc.com/support
SVC-FAMILYARC,FamilyArc,PLAN-FAMILYARC-PREMIUM,Premium Ad-Free,18.99,189.99,monthly_or_annual,18.99,4K,live_events_may_include_ads,"mostly ad-free; 4K HDR; downloads; multiple streams",US,none,none,none,false,0,0,not_available,"monthly cancels at period end; annual is nonrefundable after billing",https://www.familyarc.com/,https://www.familyarc.com/support
SVC-CIVICLIVE,CivicLive,PLAN-CIVICLIVE-ADS,On-Demand with Ads,9.99,,monthly,9.99,2K,with_ads,"ads; current-season television; 2 streams",US,"30 days for eligible new subscribers",none,none,true,84,3,"billing suspended; profile retained","pause up to 12 weeks; cancel anytime",https://www.civiclive.com/,https://www.civiclive.com/support
SVC-PINNACLE,PinnaclePlay,PLAN-PINNACLE-M,Standard Ad-Free,18.99,,monthly,18.99,2K,live_events_may_include_ads,"mostly ad-free; premium dramas; 2 streams; downloads",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.pinnacleplay.com/,https://www.pinnacleplay.com/support
SVC-EMBER,EmberScreen,PLAN-EMBER-ADS,Standard with Ads,7.99,,monthly,7.99,2K,with_ads,"ads; 2 streams; 1080p",US,"7 days for eligible new subscribers",none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.emberscreen.com/,https://www.emberscreen.com/support
SVC-EMBER,EmberScreen,PLAN-EMBER-M,Standard Ad-Free,13.99,139.99,monthly_or_annual,13.99,2K,live_events_may_include_ads,"ad-free except live events; 3 streams; downloads",US,"7 days for eligible new subscribers",none,none,false,0,0,not_available,"monthly cancels at period end; annual is nonrefundable after billing",https://www.emberscreen.com/,https://www.emberscreen.com/support
SVC-MEADOW,MeadowTV,PLAN-MEADOW-ADS,Standard with Ads,9.99,,monthly,9.99,2K,with_ads,"ads; 2 streams; 1080p",US,none,none,none,true,60,2,"billing suspended; library and profile retained","pause up to 60 days; cancel anytime",https://www.meadowtv.com/,https://www.meadowtv.com/support
SVC-MEADOW,MeadowTV,PLAN-MEADOW-M,Standard Ad-Free,15.99,,monthly,15.99,2K,live_events_may_include_ads,"ad-free except live events; 2 streams; downloads",US,none,none,none,true,60,2,"billing suspended; library and profile retained","pause up to 60 days; cancel anytime",https://www.meadowtv.com/,https://www.meadowtv.com/support
SVC-NORTHLIGHT,Northlight,PLAN-NORTHLIGHT-M,Standard with Ads,6.99,,monthly,6.99,2K,with_ads,"ads; 2 streams; 1080p",US,none,none,none,false,0,0,not_available,"cancel anytime; access through paid period",https://www.northlight.com/,https://www.northlight.com/support
