case_id,viewing_id,title_id,member_id,status,progress_percent,date_completed,reported_date,report_source,notes
SG-001,VIEW-001-A,TTL-STARWARD,MEM-001,completed,100,2026-08-11,2026-08-12,adult_report,"Morgan's completion date was explicitly reported."
SG-001,VIEW-001-B,TTL-STARWARD,MEM-003,completed,100,2026-08-12,2026-08-13,adult_report,"Riley's completion date was explicitly reported by the authorized adult."
SG-002,VIEW-002-A,TTL-GARDEN,MEM-001,completed,100,2026-07-17,2026-07-18,adult_report,"Morgan's completion date was explicitly reported."
SG-002,VIEW-002-B,TTL-GARDEN,MEM-003,unknown,,,,not_reported,"No progress or completion report exists for Riley."
SG-003,VIEW-003,TTL-HARBOR,MEM-002,completed,100,2026-06-09,2026-06-10,adult_report,"Jordan's completion date was explicitly reported."
SG-004,VIEW-004,TTL-COPPER,MEM-001,not_started,0,,2026-07-22,adult_report,"External execution request is independent of viewing progress."
SG-005,VIEW-005-A,TTL-MARINER,MEM-001,not_started,0,,2026-07-21,adult_report,"Morgan has not started the title and is comfortable keeping the current subscription lineup until it moves to ViewFlix."
SG-005,VIEW-005-B,TTL-MARINER,MEM-003,not_started,0,,2026-07-21,adult_report,"Riley has not started the title and is comfortable keeping the current subscription lineup until it moves to ViewFlix."
SG-006,VIEW-006-A,TTL-ORCHARD,MEM-002,not_started,0,,2026-08-02,adult_report,"New release."
SG-006,VIEW-006-B,TTL-FREQUENCY,MEM-003,not_started,0,,2026-08-02,adult_report,"New release."
SG-006,VIEW-006-C,TTL-MIDNIGHT-MAP,MEM-001,not_started,0,,2026-08-02,adult_report,"New fictional movie release."
SG-007,VIEW-007-A,TTL-CLOCKWORK,MEM-001,completed,100,2026-08-09,2026-08-10,adult_report,"Morgan's completion date was explicitly reported."
SG-007,VIEW-007-B,TTL-CLOCKWORK,MEM-002,completed,100,2026-08-09,2026-08-10,adult_report,"Jordan's completion date was explicitly reported."
SG-008,VIEW-008,TTL-GLASS-CITY,MEM-002,not_started,0,,2026-08-19,adult_report,"Title is unavailable in the household territory."
SG-009,VIEW-009,TTL-AFTER-DARK,MEM-004,not_started,0,,2026-09-01,adult_report,"Child is the intended viewer."
SG-010,VIEW-010,TTL-WILDFLOWER,MEM-002,not_started,0,,2026-09-13,adult_report,"Preference conflict remains unresolved."
SG-010,VIEW-010-B,TTL-WILDFLOWER,MEM-001,not_started,0,,2026-09-13,adult_report,"Morgan has not started the title and assigns it low priority."
SG-011,VIEW-011,TTL-RIDGELINE,MEM-003,completed,100,2026-07-31,2026-08-01,adult_report,"Riley's completion date was explicitly reported."
SG-012,VIEW-012-A,TTL-BLUE-HOUR,MEM-003,watching,40,,2026-10-01,adult_report,"Unchanged since previous sweep."
SG-012,VIEW-012-B,TTL-BLUE-HOUR,MEM-004,watching,25,,2026-10-01,adult_report,"Unchanged since previous sweep."
SG-012,VIEW-012-C,TTL-SUMMER-KITE,MEM-002,completed,100,2026-08-20,2026-08-21,adult_report,"Jordan's movie completion date was explicitly reported before the no-change evaluation window."
